etapa_oficial;fundamento;modulo_aferir;fonte;status;convencao;teste
CBS: equação de equilíbrio geral — Média I (CBS+IS+IPI residual, anos-base 2024-2025, % PIB) = Média II (Cofins+PIS+IOF-Seguros+IPI, 2012-2021, % PIB), única incógnita A_CBS;LC 214/2025, art. 353, §1º. Metodologia RFB homologada pelo TCU (Res. TCU 388/2026, art. 2º, I-II);aferir.rates.resolve_tri_esfera + aferir.pipeline.executa (Alvo_U = τ_U·D_U + σ·G_U);data/raw/normas/tcu/tcu_metodologia_cbs_aliquota_referencia_redutor.pdf, itens 14-21 (pp. 6-8);aproximado;mesma inversão receita-alvo ÷ base efetiva, resolvida em forma fechada sobre base aberta (TRU/POF) em vez de equações simultâneas MC+MS sobre ECF;tests/test_rates.py::test_iso_carga_desacopla
CBS: Média II — âncora 2012-2021 (% PIB) com dados RTN/STN e arrecadação RFB;LC 214/2025, arts. 350, I, e 353, §1º, II;aferir.inputs.uniao (ancora_uniao.csv — central líquida-RTN, bruta-RFB como sensibilidade declarada);metodologia TCU, itens 18-20 (p. 7). Fontes abertas idênticas às oficiais (RTN/STN e série RFB);replicado;n/d;tests/test_federal.py::test_ancora_uniao_golden
CBS: Média II — componente IOF-Seguros (arrecadação observada por modalidade);LC 214/2025, art. 350, I, 'c';aferir.inputs.uniao (razao_iof_seguros);metodologia TCU, item 19 (p. 7). Decomposição do IOF por modalidade não é pública (fronteira OD/ADM);aproximado;razão constante IOF-Seguros/IOF-total (R$ 5,4 bi da NT SERT jul/2024 ÷ IOF-total 2023) aplicada à janela 2012-2021, sensibilidade ±1/4 — lacuna de dado aberto documentada (item A8);tests/test_federal.py::test_r_uniao_consistencia
CBS: Média I — arrecadação estimada do IS como variável exógena;LC 214/2025, art. 353, caput e §1º, I;aferir.inputs.uniao (is_estimado) + aferir.revenue.alvo_uniao (dedução do alvo);metodologia TCU, itens 17 e 21 (pp. 6-8);aproximado;proxy iso-carga do IS: arrecadação corrente de IPI nos produtos do campo do IS (LC 214, art. 409 + Anexo XVII) = cota inferior do IS, logo τ_CBS cota superior nessa dimensão. IS=0 como sensibilidade;tests/test_federal.py::test_is_estimado_golden
CBS: Média I — arrecadação estimada do IPI Residual (ZFM) como variável exógena;LC 214/2025, art. 353, caput;aferir.revenue.alvo_uniao (dedução do alvo);metodologia TCU, itens 17 e 21 (pp. 6-8);aproximado;transcrição da estimativa oficial: R$ 2,6 bi (NT SERT jul/2024, p. 4), valor único sem série própria;tests/test_federal.py::test_is_ipi_residual_transcricao
CBS: Módulo 1 (Central) — apuração débitos−créditos via ECF (registros L300-A/P150/P200), Lucro Real + Presumido;LC 214/2025, art. 352, §3º, I (opção da RFB pelo dado administrativo de arrecadação);aferir.base (B_ord = C_fam + ISFLSF + FBCF_NC: TRU 2021 nível 68 escalada ao biênio, shares POF por UF);metodologia TCU, Ap. I (pp. 9-12) e itens 10-13 e 22-33;aproximado;ótica da demanda em lugar da ótica débito-crédito — equivalência das três óticas de um IVA conceitual reconhecida pelo próprio documento oficial (itens 23-24). Rota dos agregados públicos facultada pelo art. 352, §3º, II;tests/test_inputs_nucleo.py::test_tru_usos_totais_golden
CBS: Módulo 2 — redução proporcional da alíquota (reduções de 60% e 30%);LC 214/2025, regimes diferenciados com alíquota reduzida (Anexos da LC 214);aferir.gaps (matriz POF×LC 214 v5: 13.474 itens, m_i ∈ {0, 0.3, 0.4, 0.6, 0.7, 1.0});metodologia TCU, Ap. II (pp. 13-15);aproximado;enquadramento legal por item POF com dispositivo citado item a item (coluna art_lc_214_v3 da matriz) em vez de por operação NF-e;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 3 — alíquota zero;LC 214/2025, hipóteses de alíquota zero (ex.: cesta básica, Anexo I);aferir.gaps (matriz, itens com m_i = 0);metodologia TCU, Ap. III (pp. 16-17);aproximado;idem Módulo 2 — enquadramento por item POF (m_i=0) em vez de por operação;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 4 — isenção (exclusão de contribuintes/operações isentas antes do MC);LC 214/2025, hipóteses de isenção;aferir.gaps (matriz, m_i = 0 ou flag F conforme o dispositivo);metodologia TCU, Ap. IV (pp. 18-19);aproximado;isenções mapeadas pelo lado do consumo (item POF), sem o pré-processamento por contribuinte (ECF) do oficial;tests/test_pof.py::test_join_matriz_v5_cobre_99pct_da_despesa
CBS: Módulo 5 — suspensão (ajuste de créditos por regimes suspensivos);LC 214/2025, regimes de suspensão;n/d;metodologia TCU, Ap. V (pp. 20-21);fronteira_administrativa;n/d — suspensões deslocam créditos entre elos da cadeia (dado ECF/NF-e). Na ótica da demanda sobre o consumo final o efeito é neutro;n/d
