convencao,afeta,sinal_na_aliquota,magnitude,status,formula,fonte
cunha do Simples omitida (optantes no denominador),denominador,para baixo,"3,57 p.p. na soma (medida)",cenário na grade; central declarado cota inferior nessa dimensão,Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
SIFIM imputado na âncora de consumo,denominador,para baixo,"1,83 p.p. na soma (medida)",corrigido no central (E7.1); convenção anterior vira sensibilidade,Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
FBCF residencial sem o redutor do art. 261,denominador,para baixo,"0,12 p.p. na soma (medida)",corrigido no central (E7.2),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
elegibilidade legal do cashback (½ SM per capita) em vez dos decis 1-3,denominador líquido,para baixo,"0,30 p.p. na soma (medida)",cenário na grade; central = decis 1-3 (comparável ao 1º terço da NT SERT),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
G no perímetro mínimo (sem TIC/locações/capital),módulo de compras,para cima,"0,24 p.p. na soma (medida)",corredor calculado (A5),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
G no perímetro máximo (com obras e equipamentos),módulo de compras,para baixo,"0,29 p.p. na soma (medida)",corredor calculado (A5),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
natureza 36 integralmente dentro do campo,módulo de compras,para baixo,"0,05 p.p. na soma (medida)",chave calculada (A5),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
IS restrito ao proxy iso-carga do IPI,numerador CBS,para cima,"0,05 p.p. na soma (medida)","cenário ampliado quantificado (A4); apostas excluídas com justificativa dupla: sem teto legal ancorável (o art. 422, § 2º, alcança só bens minerais extraídos; demais alíquotas em lei ordinária) e GGR oficial da SPA/MF atrás de login gov.br (diligência F13); embarcações e aeronaves seguem não quantificadas (art. 421)",Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
conformidade no teto do corredor e além (γ=20%),base líquida,para cima,"3,05 p.p. na soma (medida)",estresse calculado pelo pipeline (E8),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
classificação POF×LC 214 (desacordo dos codificadores),denominador,para ambos os lados,"-0,24 a +0,94 p.p. na soma (envelopes)",envelopes e bootstrap conjunto calculados (E2),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
participação consumo/PIB corrente projetada para 2033,denominador,para ambos os lados,"-0,69 a +1,17 p.p. na soma (mín/máx da década)",extremos da década calculados (E4),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
razão IOF-Seguros constante,numerador CBS,incerto,"±1/4 da razão constante (0,0882 do IOF total)","fronteira administrativa declarada, diligência registrada (A8); sensibilidade ±1/4",Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
janela 2024-2025 com 2025 não ratificado,alvos e G,para cima,"0,06 p.p. na soma (medida)",delta só-2024 calculado (A6),Δsoma = soma_pp(cenário) − soma_pp(central) na grade; sinal reportado = efeito da OMISSÃO da correção,aferir_nacional.csv (grade da revisão)
