fonte,ano_publicacao,total_pp,cbs_pp,ibs_pp,ibs_estadual_pp,ibs_municipal_pp,ano_base_dados,desenho_legal,natureza,conceito_nota,url
"SERT/MF ago/2023, cenário H factível",2023,25.45,8.53,16.92,,,2019-2022,"PEC 45 texto Câmara","estimado","hiato de conformidade 10% (Hungria); único split CBS×IBS oficial; pré-LC 214","https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/estudos/8-8-23-nt-mf_-sert-aliquota-padrao-da-tributacao-do-consumo-de-bens-e-servicos-no-ambito-da-reforma-tributaria-1.pdf"
"SERT/MF ago/2023, cenário H conservador",2023,27.00,9.05,17.95,,,2019-2022,"PEC 45 texto Câmara","estimado","hiato 15%","https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/estudos/8-8-23-nt-mf_-sert-aliquota-padrao-da-tributacao-do-consumo-de-bens-e-servicos-no-ambito-da-reforma-tributaria-1.pdf"
"SERT/MF jul/2024, cenário L",2024,26.47,,,,,"2022-2023 (meta 12,30% PIB)","PLP 68/2024 Câmara","estimado","pós-cashback; corredor [25,65; 27,29]; sem split por esfera","https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf"
"SERT/MF ago/2024 (impacto Câmara)",2024,27.94,,,,,2022-2023,"PLP 68/2024 pós-Câmara","estimado","26,47 + 1,47 p.p. [1,44; 1,49]; 27,97 derivado pela imprensa","https://www.gov.br/fazenda/pt-br/central-de-conteudo/publicacoes/notas-informativas/2024/agosto/nota-tecnica-aliquotas-sertmf.pdf"
"IPEA TD 2530 (Orair & Gobetti)",2019,26.90,,,14.70,2.00,2016,"PEC 45/2019 (uniforme)","estimado","União 10,2-10,3; base CN 2016; fator conformidade 0,88 (Hungria); combustíveis NA base","https://observatorio-politica-fiscal.ibre.fgv.br/sites/observatorio-politica-fiscal.ibre.fgv.br/files/u49/td_2530.pdf"
"CCiF NT v2.2 (2019)",2019,25.00,,,13.80,2.00,2015,"IBS único CCiF","ilustrativo","decomposição ILUSTRATIVA ('supondo alíquota total de 25%'); União 9,2; shares da arrecadação 2015","https://ccif.com.br/wp-content/uploads/2020/06/NT-IBS-v2_2.pdf"
"FMI WP/2025/266 (Cebreiro et al.)",2025,28.00,,,,,"2024-2025 (meta ~12,5% PIB)","LC 214/227","assumido","alíquota ASSUMIDA da legislação/MF; resolve hiato de neutralidade implícito 12,5%","https://www.imf.org/en/publications/wp/issues/2025/12/19/brazil-s-vat-reform-ensuring-revenue-neutrality-572700"
"IMB-GO (2023)",2023,29.01,,,,,2019-2021,"PEC 45 c/ exceções","estimado","corredor [27,3; 30,7]; sem exceções 21,74; Simples +2,43 p.p.","https://www2.senado.leg.br/bdsf/bitstream/handle/id/647648/EE19_2024.pdf"
"CNI/LCA (dez/2023)",2023,27.50,,,,,2019-2022,"EC 132 c/ regimes","estimado","uniforme 21,7; tratamento do Simples varia 3,4 p.p.","https://static.portaldaindustria.com.br/media/filer_public/8b/ff/8bff1cc6-f3e8-4f35-bb47-ccce7db306e0/reformadatributacaodoconsumo.pdf"
"Siqueira, Nogueira & Luna (2024)",2024,33.20,,,,,2017-2018 (POF),"aproximação EC 132","estimado","base POF ≈80% do consumo das CN, viés para cima declarado pelos autores","https://arxiv.org/abs/2404.07651"
"IPEA CC-59 (Gobetti, Orair & Monteiro)",2023,25.00,9.00,16.00,14.00,2.00,2022,"PEC 45/110","estimado","nota de rodapé 1: federal ~9, IBS-E ~14, IBS-M ~2 (aproximados)","https://repositorio.ipea.gov.br/server/api/core/bitstreams/b73d5d77-caf7-48af-ac71-4d7421ad993c/content"
