fonte,ano_publicacao,total_pp,cbs_pp,ibs_pp,ibs_estadual_pp,ibs_municipal_pp,ano_base_dados,desenho_legal,natureza,conceito_nota,url
"AFERIR, trava-conforme: construção B com o PLP redutor do art. 475, §11",2026,26.49999903117129,11.022856614232508,15.477142416938783,13.154943889648136,2.322198527290648,2024-2025 (âncora União 2012-2021),"LC 214 + LC 227, com o PLP redutor do §11 (λ)",estimado condicional (dados abertos),"hipóteses idênticas às da construção B central, mais o mecanismo do §11: regimes favorecidos encolhidos em λ = 0.710 (custo R$ 241 bi/ano) até Σ = 26,5% exatos; é o ajuste que o art. 475, §11, obriga",espelho anônimo (Anexo D)
"AFERIR, construção B: identidade sobre dados abertos (cota superior), cenário central",2026,32.5328714584576,13.53080560442658,19.002065854031013,16.150985974232473,2.8510798797985415,2024-2025 (âncora União 2012-2021),"LC 214 + LC 227 (arts. 349-369, 472-473)",estimado (dados abertos),"base POTENCIAL de destino TRU 2021/POF (consumo das famílias + ISFLSF + FBCF não corporativa); conformidade γ = 12,5%, corredor [31.63; 33.49]; sem split payment (ψ = 0); redutor de compras públicas por carga equivalente (σ̂ = 8.23%, TRU 2021); pós-cashback art. 118; ex-combustíveis monofásicos (simétrico); âncora federal líquida-RTN 2012-2021 (Tema 69); IS por aproximação de carga do IPI (cota inferior do IS, logo CBS cota superior); sem cunha do Simples (soma em cota inferior nessa dimensão)",espelho anônimo (Anexo D)
"AFERIR, construção A, rito (âncora legal do art. 353)",2026,28.04761940456317,10.669772379176214,17.37784702538696,14.751459871914806,2.626387153472152,2024-2025,LC 214 + LC 227 (receitas art. 350 cheias),estimado (base implícita nas âncoras oficiais),"mesmos numeradores do art. 350 sobre a base EFETIVA implícita nas âncoras oficiais (B* = 12,30% do PIB ÷ 26,47%, NT SERT jul/2024, base já líquida de conformidade, favorecimentos e cashback); com combustíveis; numerador federal líquido de IS estimado e IPI residual (art. 353, §1º); parcela federal reposta pela média histórica 2012-2021 que o art. 353 determina (embute a carga do IPI e o regime anterior ao Tema 69)",espelho anônimo (Anexo D)
"AFERIR, construção A, comparável às oficiais (meta do PLDO)",2026,26.633796447652596,9.255949422265642,17.37784702538696,14.751459871914806,2.626387153472152,2024-2025,LC 214 + LC 227 (receitas art. 350 cheias),estimado (base implícita nas âncoras oficiais),"mesmos numeradores do art. 350 sobre a base EFETIVA implícita nas âncoras oficiais (B* = 12,30% do PIB ÷ 26,47%, NT SERT jul/2024, base já líquida de conformidade, favorecimentos e cashback); com combustíveis; numerador federal líquido de IS estimado e IPI residual (art. 353, §1º); parcela federal ancorada na projeção corrente do PLDO (4,47% do PIB)",espelho anônimo (Anexo D)
"SERT/MF ago/2023, cenário H factível",2023,25.45,8.53,16.92,,,2019-2022,PEC 45 texto Câmara,estimado,hiato de conformidade 10% (Hungria); único split CBS×IBS oficial; pré-LC 214,https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/estudos/8-8-23-nt-mf_-sert-aliquota-padrao-da-tributacao-do-consumo-de-bens-e-servicos-no-ambito-da-reforma-tributaria-1.pdf
"SERT/MF ago/2023, cenário H conservador",2023,27.0,9.05,17.95,,,2019-2022,PEC 45 texto Câmara,estimado,hiato 15%,https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/estudos/8-8-23-nt-mf_-sert-aliquota-padrao-da-tributacao-do-consumo-de-bens-e-servicos-no-ambito-da-reforma-tributaria-1.pdf
"SERT/MF jul/2024, cenário L",2024,26.47,,,,,"2022-2023 (meta 12,30% PIB)",PLP 68/2024 Câmara,estimado,"pós-cashback; corredor [25,65; 27,29]; sem split por esfera",https://www.gov.br/fazenda/pt-br/acesso-a-informacao/acoes-e-programas/reforma-tributaria/regulamentacao-da-reforma-tributaria/lei-geral-do-ibs-da-cbs-e-do-imposto-seletivo/notas/nota-tecnica-aliquotas_2024-07-01_sertmf-1.pdf
SERT/MF ago/2024 (impacto Câmara),2024,27.94,,,,,2022-2023,PLP 68/2024 pós-Câmara,estimado,"26,47 + 1,47 p.p. [1,44; 1,49]; 27,97 derivado pela imprensa",https://www.gov.br/fazenda/pt-br/central-de-conteudo/publicacoes/notas-informativas/2024/agosto/nota-tecnica-aliquotas-sertmf.pdf
IPEA TD 2530 (Orair & Gobetti),2019,26.9,,,14.7,2.0,2016,PEC 45/2019 (uniforme),estimado,"União 10,2-10,3; base CN 2016; fator conformidade 0,88 (Hungria); combustíveis NA base",https://observatorio-politica-fiscal.ibre.fgv.br/sites/observatorio-politica-fiscal.ibre.fgv.br/files/u49/td_2530.pdf
CCiF NT v2.2 (2019),2019,25.0,,,13.8,2.0,2015,IBS único CCiF,ilustrativo,"decomposição ILUSTRATIVA ('supondo alíquota total de 25%'); União 9,2; shares da arrecadação 2015",https://ccif.com.br/wp-content/uploads/2020/06/NT-IBS-v2_2.pdf
